,Unnamed: 0,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
1536,1536,further,0f3dadf71345_17,trial_22_leather,trial_12_bluejay,trial_18_pug,trial_1_bluesport,further_leather
1537,1537,closer,0f3dadf71345_18,trial_25_goldenretriever,trial_16_bloodhound,trial_23_weimaraner,trial_7_basset,closer_goldenretriever
1538,1538,closer,0f3dadf71345_19,trial_13_tomtit,trial_19_pigeon,trial_26_crow,trial_29_sparrow,closer_tomtit
1539,1539,closer,0f3dadf71345_20,trial_7_basset,trial_16_bloodhound,trial_23_weimaraner,trial_25_goldenretriever,closer_basset
1540,1540,further,0f3dadf71345_21,trial_20_cuckoo,trial_2_bullmastiff,trial_32_squat,trial_9_brown,further_cuckoo
1542,1542,further,0f3dadf71345_23,trial_9_brown,trial_20_cuckoo,trial_2_bullmastiff,trial_32_squat,further_brown
1544,1544,closer,0f3dadf71345_25,trial_26_crow,trial_13_tomtit,trial_19_pigeon,trial_29_sparrow,closer_crow
1545,1545,closer,0f3dadf71345_26,trial_8_knob,trial_11_waiting,trial_4_straight,trial_5_inlay,closer_knob
1546,1546,further,0f3dadf71345_27,trial_2_bullmastiff,trial_20_cuckoo,trial_32_squat,trial_9_brown,further_bullmastiff
1547,1547,closer,0f3dadf71345_28,trial_4_straight,trial_11_waiting,trial_5_inlay,trial_8_knob,closer_straight
1548,1548,further,0f3dadf71345_29,trial_17_redsport,trial_15_nightingale,trial_21_woven,trial_30_doberman,further_redsport
1549,1549,closer,0f3dadf71345_30,trial_5_inlay,trial_11_waiting,trial_4_straight,trial_8_knob,closer_inlay
1550,1550,closer,0f3dadf71345_31,trial_3_redantique,trial_10_beetle,trial_31_bluesedan,trial_6_hatchback,closer_redantique
1551,1551,closer,0f3dadf71345_32,trial_6_hatchback,trial_10_beetle,trial_31_bluesedan,trial_3_redantique,closer_hatchback
1552,1552,closer,fbb1a309c5d9_1,trial_27_sling,trial_11_waiting,trial_21_woven,trial_8_knob,closer_sling
1553,1553,closer,fbb1a309c5d9_2,trial_8_knob,trial_11_waiting,trial_21_woven,trial_27_sling,closer_knob
1554,1554,further,fbb1a309c5d9_3,trial_25_goldenretriever,trial_10_beetle,trial_20_cuckoo,trial_5_inlay,further_goldenretriever
1555,1555,further,fbb1a309c5d9_4,trial_17_redsport,trial_15_nightingale,trial_2_bullmastiff,trial_4_straight,further_redsport
1556,1556,closer,fbb1a309c5d9_5,trial_3_redantique,trial_1_bluesport,trial_31_bluesedan,trial_9_brown,closer_redantique
1557,1557,further,fbb1a309c5d9_6,trial_10_beetle,trial_20_cuckoo,trial_25_goldenretriever,trial_5_inlay,further_beetle
1558,1558,further,fbb1a309c5d9_8,trial_23_weimaraner,trial_19_pigeon,trial_22_leather,trial_6_hatchback,further_weimaraner
1559,1559,closer,fbb1a309c5d9_9,trial_9_brown,trial_1_bluesport,trial_31_bluesedan,trial_3_redantique,closer_brown
1560,1560,closer,fbb1a309c5d9_10,trial_21_woven,trial_11_waiting,trial_27_sling,trial_8_knob,closer_woven
1561,1561,closer,fbb1a309c5d9_11,trial_1_bluesport,trial_31_bluesedan,trial_3_redantique,trial_9_brown,closer_bluesport
1562,1562,closer,fbb1a309c5d9_12,trial_28_chihuahua,trial_16_bloodhound,trial_18_pug,trial_30_doberman,closer_chihuahua
1563,1563,further,fbb1a309c5d9_13,trial_22_leather,trial_19_pigeon,trial_23_weimaraner,trial_6_hatchback,further_leather
1564,1564,further,fbb1a309c5d9_14,trial_6_hatchback,trial_19_pigeon,trial_22_leather,trial_23_weimaraner,further_hatchback
1566,1566,closer,fbb1a309c5d9_16,trial_26_crow,trial_12_bluejay,trial_14_robin,trial_29_sparrow,closer_crow
1567,1567,further,fbb1a309c5d9_18,trial_24_white,trial_13_tomtit,trial_32_squat,trial_7_basset,further_white
1568,1568,further,fbb1a309c5d9_19,trial_13_tomtit,trial_24_white,trial_32_squat,trial_7_basset,further_tomtit
1570,1570,closer,fbb1a309c5d9_21,trial_31_bluesedan,trial_1_bluesport,trial_3_redantique,trial_9_brown,closer_bluesedan
1571,1571,further,fbb1a309c5d9_22,trial_4_straight,trial_15_nightingale,trial_17_redsport,trial_2_bullmastiff,further_straight
1572,1572,further,fbb1a309c5d9_23,trial_19_pigeon,trial_22_leather,trial_23_weimaraner,trial_6_hatchback,further_pigeon
1573,1573,further,fbb1a309c5d9_24,trial_2_bullmastiff,trial_15_nightingale,trial_17_redsport,trial_4_straight,further_bullmastiff
1574,1574,closer,fbb1a309c5d9_25,trial_29_sparrow,trial_12_bluejay,trial_14_robin,trial_26_crow,closer_sparrow
1575,1575,further,fbb1a309c5d9_26,trial_7_basset,trial_13_tomtit,trial_24_white,trial_32_squat,further_basset
1576,1576,closer,fbb1a309c5d9_27,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua,trial_30_doberman,closer_bloodhound
1577,1577,further,fbb1a309c5d9_28,trial_32_squat,trial_13_tomtit,trial_24_white,trial_7_basset,further_squat
1579,1579,further,fbb1a309c5d9_30,trial_20_cuckoo,trial_10_beetle,trial_25_goldenretriever,trial_5_inlay,further_cuckoo
1580,1580,closer,fbb1a309c5d9_31,trial_18_pug,trial_16_bloodhound,trial_28_chihuahua,trial_30_doberman,closer_pug
1581,1581,further,fbb1a309c5d9_32,trial_5_inlay,trial_10_beetle,trial_20_cuckoo,trial_25_goldenretriever,further_inlay
1582,1582,further,7bf13a56bbb7_1,trial_17_redsport,trial_12_bluejay,trial_27_sling,trial_28_chihuahua,further_redsport
1583,1583,closer,7bf13a56bbb7_2,trial_4_straight,trial_21_woven,trial_5_inlay,trial_8_knob,closer_straight
1584,1584,closer,7bf13a56bbb7_3,trial_3_redantique,trial_10_beetle,trial_24_white,trial_31_bluesedan,closer_redantique
1585,1585,closer,7bf13a56bbb7_4,trial_19_pigeon,trial_13_tomtit,trial_20_cuckoo,trial_29_sparrow,closer_pigeon
1586,1586,further,7bf13a56bbb7_5,trial_14_robin,trial_2_bullmastiff,trial_32_squat,trial_9_brown,further_robin
1587,1587,closer,7bf13a56bbb7_6,trial_13_tomtit,trial_19_pigeon,trial_20_cuckoo,trial_29_sparrow,closer_tomtit
1588,1588,further,7bf13a56bbb7_7,trial_6_hatchback,trial_11_waiting,trial_15_nightingale,trial_30_doberman,further_hatchback
