,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
756,closer,76ac0d817ede_3,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo,trial_26_crow,closer_tomtit
757,closer,76ac0d817ede_6,trial_15_nightingale,trial_13_tomtit,trial_20_cuckoo,trial_26_crow,closer_nightingale
758,further,76ac0d817ede_14,trial_17_redsport,trial_11_waiting,trial_14_robin,trial_25_goldenretriever,further_redsport
759,further,76ac0d817ede_18,trial_11_waiting,trial_14_robin,trial_17_redsport,trial_25_goldenretriever,further_waiting
760,closer,76ac0d817ede_19,trial_9_brown,trial_10_beetle,trial_24_white,trial_31_bluesedan,closer_brown
761,closer,76ac0d817ede_21,trial_20_cuckoo,trial_13_tomtit,trial_15_nightingale,trial_26_crow,closer_cuckoo
762,closer,76ac0d817ede_22,trial_24_white,trial_10_beetle,trial_31_bluesedan,trial_9_brown,closer_white
763,closer,76ac0d817ede_23,trial_31_bluesedan,trial_10_beetle,trial_24_white,trial_9_brown,closer_bluesedan
764,further,76ac0d817ede_24,trial_25_goldenretriever,trial_11_waiting,trial_14_robin,trial_17_redsport,further_goldenretriever
765,closer,76ac0d817ede_26,trial_10_beetle,trial_24_white,trial_31_bluesedan,trial_9_brown,closer_beetle
766,closer,76ac0d817ede_29,trial_26_crow,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo,closer_crow
767,further,76ac0d817ede_32,trial_14_robin,trial_11_waiting,trial_17_redsport,trial_25_goldenretriever,further_robin
768,closer,e201d15bc528_1,trial_32_squat,trial_11_waiting,trial_4_straight,trial_5_inlay,closer_squat
769,further,e201d15bc528_3,trial_15_nightingale,trial_1_bluesport,trial_22_leather,trial_23_weimaraner,further_nightingale
770,closer,e201d15bc528_4,trial_5_inlay,trial_11_waiting,trial_32_squat,trial_4_straight,closer_inlay
771,further,e201d15bc528_5,trial_12_bluejay,trial_21_woven,trial_30_doberman,trial_31_bluesedan,further_bluejay
772,closer,e201d15bc528_7,trial_24_white,trial_10_beetle,trial_17_redsport,trial_6_hatchback,closer_white
773,closer,e201d15bc528_8,trial_11_waiting,trial_32_squat,trial_4_straight,trial_5_inlay,closer_waiting
774,closer,e201d15bc528_11,trial_4_straight,trial_11_waiting,trial_32_squat,trial_5_inlay,closer_straight
775,further,e201d15bc528_12,trial_18_pug,trial_20_cuckoo,trial_27_sling,trial_3_redantique,further_pug
776,further,e201d15bc528_13,trial_3_redantique,trial_18_pug,trial_20_cuckoo,trial_27_sling,further_redantique
777,closer,e201d15bc528_14,trial_19_pigeon,trial_14_robin,trial_26_crow,trial_29_sparrow,closer_pigeon
778,closer,e201d15bc528_15,trial_26_crow,trial_14_robin,trial_19_pigeon,trial_29_sparrow,closer_crow
779,further,e201d15bc528_16,trial_30_doberman,trial_12_bluejay,trial_21_woven,trial_31_bluesedan,further_doberman
780,further,e201d15bc528_17,trial_13_tomtit,trial_28_chihuahua,trial_8_knob,trial_9_brown,further_tomtit
781,further,e201d15bc528_19,trial_1_bluesport,trial_15_nightingale,trial_22_leather,trial_23_weimaraner,further_bluesport
782,closer,e201d15bc528_20,trial_6_hatchback,trial_10_beetle,trial_17_redsport,trial_24_white,closer_hatchback
783,further,e201d15bc528_21,trial_31_bluesedan,trial_12_bluejay,trial_21_woven,trial_30_doberman,further_bluesedan
784,further,e201d15bc528_22,trial_22_leather,trial_15_nightingale,trial_1_bluesport,trial_23_weimaraner,further_leather
785,further,e201d15bc528_24,trial_9_brown,trial_13_tomtit,trial_28_chihuahua,trial_8_knob,further_brown
786,further,e201d15bc528_27,trial_28_chihuahua,trial_13_tomtit,trial_8_knob,trial_9_brown,further_chihuahua
787,further,e201d15bc528_28,trial_21_woven,trial_12_bluejay,trial_30_doberman,trial_31_bluesedan,further_woven
788,further,e201d15bc528_29,trial_23_weimaraner,trial_15_nightingale,trial_1_bluesport,trial_22_leather,further_weimaraner
789,further,e201d15bc528_30,trial_27_sling,trial_18_pug,trial_20_cuckoo,trial_3_redantique,further_sling
790,further,e201d15bc528_31,trial_8_knob,trial_13_tomtit,trial_28_chihuahua,trial_9_brown,further_knob
791,further,e201d15bc528_32,trial_20_cuckoo,trial_18_pug,trial_27_sling,trial_3_redantique,further_cuckoo
792,further,f3a9ac597eb6_4,trial_20_cuckoo,trial_24_white,trial_27_sling,trial_30_doberman,further_cuckoo
793,further,f3a9ac597eb6_5,trial_6_hatchback,trial_21_woven,trial_29_sparrow,trial_7_basset,further_hatchback
794,further,f3a9ac597eb6_14,trial_27_sling,trial_20_cuckoo,trial_24_white,trial_30_doberman,further_sling
795,closer,f3a9ac597eb6_18,trial_32_squat,trial_11_waiting,trial_4_straight,trial_5_inlay,closer_squat
796,closer,f3a9ac597eb6_19,trial_5_inlay,trial_11_waiting,trial_32_squat,trial_4_straight,closer_inlay
797,further,f3a9ac597eb6_21,trial_29_sparrow,trial_21_woven,trial_6_hatchback,trial_7_basset,further_sparrow
798,further,f3a9ac597eb6_24,trial_30_doberman,trial_20_cuckoo,trial_24_white,trial_27_sling,further_doberman
799,closer,f3a9ac597eb6_28,trial_4_straight,trial_11_waiting,trial_32_squat,trial_5_inlay,closer_straight
800,further,f3a9ac597eb6_29,trial_24_white,trial_20_cuckoo,trial_27_sling,trial_30_doberman,further_white
801,closer,16d8e4ed049d_1,trial_7_basset,trial_16_bloodhound,trial_28_chihuahua,trial_30_doberman,closer_basset
802,further,16d8e4ed049d_3,trial_29_sparrow,trial_23_weimaraner,trial_24_white,trial_32_squat,further_sparrow
803,closer,16d8e4ed049d_5,trial_16_bloodhound,trial_28_chihuahua,trial_30_doberman,trial_7_basset,closer_bloodhound
804,further,16d8e4ed049d_8,trial_5_inlay,trial_25_goldenretriever,trial_26_crow,trial_3_redantique,further_inlay
805,further,16d8e4ed049d_9,trial_32_squat,trial_23_weimaraner,trial_24_white,trial_29_sparrow,further_squat
806,further,16d8e4ed049d_10,trial_24_white,trial_23_weimaraner,trial_29_sparrow,trial_32_squat,further_white
807,further,16d8e4ed049d_12,trial_25_goldenretriever,trial_26_crow,trial_3_redantique,trial_5_inlay,further_goldenretriever
808,further,16d8e4ed049d_19,trial_26_crow,trial_25_goldenretriever,trial_3_redantique,trial_5_inlay,further_crow
809,further,16d8e4ed049d_20,trial_3_redantique,trial_25_goldenretriever,trial_26_crow,trial_5_inlay,further_redantique
810,further,16d8e4ed049d_21,trial_23_weimaraner,trial_24_white,trial_29_sparrow,trial_32_squat,further_weimaraner
811,closer,16d8e4ed049d_23,trial_30_doberman,trial_16_bloodhound,trial_28_chihuahua,trial_7_basset,closer_doberman
812,further,e1082911fc9f_8,trial_2_bullmastiff,trial_13_tomtit,trial_1_bluesport,trial_22_leather,further_bullmastiff
813,further,e1082911fc9f_16,trial_1_bluesport,trial_13_tomtit,trial_22_leather,trial_2_bullmastiff,further_bluesport
814,further,e1082911fc9f_23,trial_22_leather,trial_13_tomtit,trial_1_bluesport,trial_2_bullmastiff,further_leather
815,further,e1082911fc9f_26,trial_13_tomtit,trial_1_bluesport,trial_22_leather,trial_2_bullmastiff,further_tomtit
816,further,1ad91742f7d4_4,trial_20_cuckoo,trial_16_bloodhound,trial_21_woven,trial_31_bluesedan,further_cuckoo
817,closer,1ad91742f7d4_6,trial_11_waiting,trial_32_squat,trial_4_straight,trial_8_knob,closer_waiting
818,further,1ad91742f7d4_9,trial_21_woven,trial_16_bloodhound,trial_20_cuckoo,trial_31_bluesedan,further_woven
819,closer,1ad91742f7d4_14,trial_4_straight,trial_11_waiting,trial_32_squat,trial_8_knob,closer_straight
820,further,1ad91742f7d4_17,trial_31_bluesedan,trial_16_bloodhound,trial_20_cuckoo,trial_21_woven,further_bluesedan
821,further,1ad91742f7d4_20,trial_16_bloodhound,trial_20_cuckoo,trial_21_woven,trial_31_bluesedan,further_bloodhound
822,closer,1ad91742f7d4_22,trial_8_knob,trial_11_waiting,trial_32_squat,trial_4_straight,closer_knob
