,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
519,further,fcb7cf68ddba_20,trial_15_nightingale,trial_24_white,trial_27_sling,trial_7_basset,further_nightingale
520,closer,fcb7cf68ddba_21,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua,trial_30_doberman,closer_bloodhound
521,further,fcb7cf68ddba_24,trial_27_sling,trial_15_nightingale,trial_24_white,trial_7_basset,further_sling
522,further,fcb7cf68ddba_26,trial_7_basset,trial_15_nightingale,trial_24_white,trial_27_sling,further_basset
523,closer,fcb7cf68ddba_27,trial_28_chihuahua,trial_16_bloodhound,trial_18_pug,trial_30_doberman,closer_chihuahua
524,closer,fcb7cf68ddba_30,trial_18_pug,trial_16_bloodhound,trial_28_chihuahua,trial_30_doberman,closer_pug
525,closer,fcb7cf68ddba_31,trial_4_straight,trial_11_waiting,trial_32_squat,trial_8_knob,closer_straight
526,closer,fcb7cf68ddba_32,trial_11_waiting,trial_32_squat,trial_4_straight,trial_8_knob,closer_waiting
527,closer,7cc820eaccb0_1,trial_9_brown,trial_10_beetle,trial_1_bluesport,trial_3_redantique,closer_brown
528,further,7cc820eaccb0_2,trial_18_pug,trial_11_waiting,trial_13_tomtit,trial_31_bluesedan,further_pug
529,closer,7cc820eaccb0_7,trial_1_bluesport,trial_10_beetle,trial_3_redantique,trial_9_brown,closer_bluesport
530,further,7cc820eaccb0_16,trial_20_cuckoo,trial_17_redsport,trial_27_sling,trial_7_basset,further_cuckoo
531,further,7cc820eaccb0_17,trial_27_sling,trial_17_redsport,trial_20_cuckoo,trial_7_basset,further_sling
532,further,7cc820eaccb0_18,trial_13_tomtit,trial_11_waiting,trial_18_pug,trial_31_bluesedan,further_tomtit
533,further,7cc820eaccb0_19,trial_7_basset,trial_17_redsport,trial_20_cuckoo,trial_27_sling,further_basset
534,further,7cc820eaccb0_20,trial_11_waiting,trial_13_tomtit,trial_18_pug,trial_31_bluesedan,further_waiting
535,further,7cc820eaccb0_24,trial_31_bluesedan,trial_11_waiting,trial_13_tomtit,trial_18_pug,further_bluesedan
536,closer,7cc820eaccb0_26,trial_10_beetle,trial_1_bluesport,trial_3_redantique,trial_9_brown,closer_beetle
537,further,7cc820eaccb0_28,trial_17_redsport,trial_20_cuckoo,trial_27_sling,trial_7_basset,further_redsport
538,closer,7cc820eaccb0_31,trial_3_redantique,trial_10_beetle,trial_1_bluesport,trial_9_brown,closer_redantique
539,closer,8069d67a2b47_1,trial_11_waiting,trial_22_leather,trial_4_straight,trial_5_inlay,closer_waiting
540,closer,8069d67a2b47_11,trial_29_sparrow,trial_12_bluejay,trial_13_tomtit,trial_15_nightingale,closer_sparrow
541,further,8069d67a2b47_13,trial_19_pigeon,trial_18_pug,trial_3_redantique,trial_8_knob,further_pigeon
542,further,8069d67a2b47_15,trial_8_knob,trial_18_pug,trial_19_pigeon,trial_3_redantique,further_knob
543,closer,8069d67a2b47_16,trial_12_bluejay,trial_13_tomtit,trial_15_nightingale,trial_29_sparrow,closer_bluejay
544,closer,8069d67a2b47_17,trial_15_nightingale,trial_12_bluejay,trial_13_tomtit,trial_29_sparrow,closer_nightingale
545,closer,8069d67a2b47_18,trial_13_tomtit,trial_12_bluejay,trial_15_nightingale,trial_29_sparrow,closer_tomtit
546,further,8069d67a2b47_22,trial_3_redantique,trial_18_pug,trial_19_pigeon,trial_8_knob,further_redantique
