,Unnamed: 0,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3,coarseGrainedSketchInfo
108,108,closer,1b295ff55c49_16,trial_23_weimaraner,trial_18_pug,trial_25_goldenretriever,trial_28_chihuahua,closer_weimaraner
109,109,closer,1b295ff55c49_19,trial_20_cuckoo,trial_13_tomtit,trial_15_nightingale,trial_26_crow,closer_cuckoo
110,110,closer,1b295ff55c49_23,trial_26_crow,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo,closer_crow
111,111,closer,1b295ff55c49_31,trial_28_chihuahua,trial_18_pug,trial_23_weimaraner,trial_25_goldenretriever,closer_chihuahua
112,112,further,8d7c0ee48a43_3,trial_30_doberman,trial_13_tomtit,trial_3_redantique,trial_8_knob,further_doberman
113,113,further,8d7c0ee48a43_4,trial_1_bluesport,trial_20_cuckoo,trial_5_inlay,trial_7_basset,further_bluesport
114,114,further,8d7c0ee48a43_5,trial_5_inlay,trial_1_bluesport,trial_20_cuckoo,trial_7_basset,further_inlay
115,115,further,8d7c0ee48a43_7,trial_2_bullmastiff,trial_26_crow,trial_31_bluesedan,trial_4_straight,further_bullmastiff
116,116,further,8d7c0ee48a43_8,trial_20_cuckoo,trial_1_bluesport,trial_5_inlay,trial_7_basset,further_cuckoo
117,117,closer,8d7c0ee48a43_9,trial_18_pug,trial_16_bloodhound,trial_23_weimaraner,trial_28_chihuahua,closer_pug
118,118,closer,8d7c0ee48a43_11,trial_28_chihuahua,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner,closer_chihuahua
119,119,further,8d7c0ee48a43_13,trial_7_basset,trial_1_bluesport,trial_20_cuckoo,trial_5_inlay,further_basset
120,120,further,8d7c0ee48a43_17,trial_8_knob,trial_13_tomtit,trial_30_doberman,trial_3_redantique,further_knob
121,121,further,8d7c0ee48a43_18,trial_4_straight,trial_26_crow,trial_2_bullmastiff,trial_31_bluesedan,further_straight
122,122,closer,8d7c0ee48a43_19,trial_23_weimaraner,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua,closer_weimaraner
123,123,further,8d7c0ee48a43_26,trial_26_crow,trial_2_bullmastiff,trial_31_bluesedan,trial_4_straight,further_crow
124,124,further,8d7c0ee48a43_27,trial_31_bluesedan,trial_26_crow,trial_2_bullmastiff,trial_4_straight,further_bluesedan
125,125,further,8d7c0ee48a43_30,trial_13_tomtit,trial_30_doberman,trial_3_redantique,trial_8_knob,further_tomtit
